neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Bijlmer-Oost,Private room,2,0.33,1,55.0
Noord-West,Entire home/apt,2,0.54,1,52.666666666666664
Oud-Oost,Entire home/apt,2,0.36,1,50.0
Oud-Oost,Entire home/apt,5,0.9,1,75.0
Centrum-West,Entire home/apt,4,0.66,1,45.0
Westerpark,Entire home/apt,0,0.0,2,19.8
Oud-Oost,Entire home/apt,5,0.84,1,125.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,8.571428571428571
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,3.2666666666666666
Centrum-Oost,Entire home/apt,1,0.17,1,275.0
Bijlmer-Oost,Private room,3,0.49,2,58.0
De Baarsjes - Oud-West,Private room,3,0.49,4,75.0
Centrum-West,Entire home/apt,13,2.15,1,570.0
De Pijp - Rivierenbuurt,Entire home/apt,2,0.36,1,150.0
De Aker - Nieuw Sloten,Entire home/apt,0,0.0,1,40.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,55.0
Geuzenveld - Slotermeer,Entire home/apt,1,0.18,38,41.666666666666664
Westerpark,Entire home/apt,7,1.23,1,80.0
IJburg - Zeeburgereiland,Entire home/apt,0,0.0,1,50.0
Westerpark,Entire home/apt,0,0.0,1,43.333333333333336
Westerpark,Entire home/apt,5,1.01,1,60.0
Centrum-Oost,Private room,6,0.97,1,97.5
Oud-Oost,Entire home/apt,0,0.0,2,149.5
Oud-Oost,Entire home/apt,3,0.5,1,22.5
Centrum-Oost,Entire home/apt,4,0.81,1,25.0
Oud-Noord,Entire home/apt,16,2.61,1,75.0
De Baarsjes - Oud-West,Entire home/apt,2,0.36,1,200.0
Zuid,Entire home/apt,1,0.23,2,83.33333333333333
Oud-Oost,Entire home/apt,2,0.36,1,57.5
De Baarsjes - Oud-West,Entire home/apt,3,0.54,1,99.5
Watergraafsmeer,Entire home/apt,0,0.0,2,150.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,66.66666666666667
Centrum-West,Entire home/apt,3,0.56,31,66.66666666666667
De Baarsjes - Oud-West,Entire home/apt,2,0.39,1,45.0
Westerpark,Entire home/apt,0,0.0,14,39.5
Zuid,Entire home/apt,2,0.33,1,75.0
Bos en Lommer,Entire home/apt,2,0.66,3,300.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,87.5
Zuid,Entire home/apt,13,2.19,1,0.185
Centrum-West,Entire home/apt,4,0.72,1,125.0
Westerpark,Entire home/apt,0,0.0,1,92.5
Oud-Noord,Private room,1,0.17,1,100.0
Noord-West,Entire home/apt,3,0.68,1,40.0
Centrum-Oost,Private room,7,1.3,1,92.0
Westerpark,Private room,9,1.58,3,47.5
De Baarsjes - Oud-West,Entire home/apt,10,1.74,3,55.0
Oud-Noord,Entire home/apt,3,0.53,1,90.0
Watergraafsmeer,Entire home/apt,0,0.0,1,100.0
Noord-Oost,Private room,7,1.52,1,35.0
De Baarsjes - Oud-West,Entire home/apt,9,1.7,1,49.666666666666664
Bijlmer-Oost,Private room,0,0.0,2,49.0
Centrum-Oost,Entire home/apt,1,0.27,1,83.33333333333333
Oud-Oost,Entire home/apt,2,0.33,1,15.0
Noord-West,Private room,3,1.17,4,60.0
Centrum-West,Private room,10,1.69,3,35.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,2,125.0
Buitenveldert - Zuidas,Entire home/apt,2,0.35,1,46.666666666666664
Noord-West,Entire home/apt,0,0.0,2,20.0
Centrum-Oost,Entire home/apt,17,3.0,1,199.0
Noord-West,Entire home/apt,2,0.57,1,60.0
Noord-West,Entire home/apt,0,0.0,2,45.0
Osdorp,Entire home/apt,7,1.21,1,45.0
De Baarsjes - Oud-West,Entire home/apt,1,0.28,1,66.66666666666667
Gaasperdam - Driemond,Private room,1,0.28,4,90.0
De Baarsjes - Oud-West,Entire home/apt,1,0.28,1,48.75
Noord-West,Entire home/apt,0,0.0,1,50.0
Slotervaart,Entire home/apt,1,0.27,2,50.0
Zuid,Entire home/apt,1,0.28,1,75.0
De Baarsjes - Oud-West,Entire home/apt,1,0.28,1,250.0
De Baarsjes - Oud-West,Private room,3,0.64,1,72.5
Centrum-West,Entire home/apt,2,0.34,1,166.33333333333334
De Baarsjes - Oud-West,Private room,13,2.67,2,26.666666666666668
Bijlmer-Centrum,Entire home/apt,6,1.05,1,40.0
Centrum-West,Entire home/apt,11,1.92,1,50.0
Oud-Oost,Entire home/apt,2,0.36,1,47.5
De Pijp - Rivierenbuurt,Entire home/apt,9,1.55,1,57.5
Noord-Oost,Private room,14,2.49,1,45.0
Zuid,Entire home/apt,1,0.18,1,42.5
Centrum-West,Entire home/apt,0,0.0,1,98.33333333333333
Centrum-West,Private room,1,0.36,2,1000.0
Centrum-West,Private room,0,0.0,2,1000.0
De Baarsjes - Oud-West,Private room,4,0.72,2,125.0
De Pijp - Rivierenbuurt,Entire home/apt,9,1.56,1,43.333333333333336
Centrum-West,Private room,25,4.24,1,100.0
Bos en Lommer,Entire home/apt,1,0.21,1,43.333333333333336
Slotervaart,Entire home/apt,2,0.56,1,67.5
Zuid,Private room,6,1.36,2,25.714285714285715
Gaasperdam - Driemond,Private room,15,2.78,1,49.0
Oud-Noord,Entire home/apt,2,0.95,1,75.0
Centrum-West,Private room,1,0.61,3,30.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,200.0
Centrum-West,Entire home/apt,2,0.56,1,1.2857142857142858
De Pijp - Rivierenbuurt,Entire home/apt,2,0.55,31,67.5
Bos en Lommer,Entire home/apt,1,0.48,1,75.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,0.49,1,50.0
Centrum-West,Private room,0,0.0,1,100.0
Oud-Oost,Entire home/apt,0,0.0,1,100.0
Zuid,Entire home/apt,5,1.12,3,25.714285714285715
De Pijp - Rivierenbuurt,Private room,1,0.47,1,90.0
Zuid,Entire home/apt,2,0.45,1,5.0
Oud-Oost,Entire home/apt,7,1.22,1,91.66666666666667
Centrum-Oost,Entire home/apt,8,1.68,2,110.0
IJburg - Zeeburgereiland,Entire home/apt,2,0.37,1,30.0
De Baarsjes - Oud-West,Private room,0,0.0,2,36.666666666666664
Centrum-West,Entire home/apt,4,1.43,1,76.66666666666667
De Baarsjes - Oud-West,Entire home/apt,3,0.59,1,20.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.56,1,83.33333333333333
De Pijp - Rivierenbuurt,Entire home/apt,4,0.7,1,199.5
Geuzenveld - Slotermeer,Entire home/apt,9,1.76,1,105.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.72,1,97.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,2,0.4,1,75.0
Noord-West,Entire home/apt,10,1.81,1,39.5
Geuzenveld - Slotermeer,Entire home/apt,4,0.92,1,21.5
Geuzenveld - Slotermeer,Private room,1,0.33,2,26.333333333333332
Geuzenveld - Slotermeer,Private room,3,0.83,2,11.0
Centrum-West,Private room,4,0.74,1,87.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,7,1.68,1,115.0
Osdorp,Private room,8,1.45,1,18.0
Oud-Oost,Entire home/apt,4,0.82,1,125.0
Bos en Lommer,Entire home/apt,4,0.77,1,75.0
De Baarsjes - Oud-West,Entire home/apt,10,1.76,1,100.0
De Baarsjes - Oud-West,Entire home/apt,3,0.62,1,60.0
Centrum-West,Entire home/apt,0,0.0,1,147.5
De Pijp - Rivierenbuurt,Entire home/apt,2,0.54,1,83.33333333333333
Bos en Lommer,Entire home/apt,1,0.2,1,77.5
Westerpark,Entire home/apt,1,0.26,1,99.5
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,9,81.66666666666667
Zuid,Entire home/apt,2,0.4,1,50.0
Oostelijk Havengebied - Indische Buurt,Private room,0,0.0,1,18.75
Westerpark,Entire home/apt,4,0.91,1,100.0
Westerpark,Entire home/apt,7,1.3,1,75.0
Centrum-West,Private room,5,3.19,1,200.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.28,1,50.0
Slotervaart,Entire home/apt,1,0.28,2,60.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,1,0.2,2,20.0
Zuid,Entire home/apt,4,0.96,1,179.0
Centrum-West,Entire home/apt,5,1.04,1,66.66666666666667
Centrum-Oost,Entire home/apt,2,0.4,1,200.0
IJburg - Zeeburgereiland,Entire home/apt,2,0.43,2,80.0
Centrum-Oost,Entire home/apt,1,0.27,1,49.666666666666664
Watergraafsmeer,Entire home/apt,16,3.1,2,38.0
De Pijp - Rivierenbuurt,Private room,2,0.36,1,100.0
De Pijp - Rivierenbuurt,Entire home/apt,6,1.05,1,54.0
Oud-Oost,Entire home/apt,2,0.41,1,55.0
Bos en Lommer,Entire home/apt,2,0.47,1,140.0
Centrum-Oost,Private room,30,5.49,2,80.0
Oud-Oost,Entire home/apt,0,0.0,1,45.0
De Baarsjes - Oud-West,Entire home/apt,8,1.62,1,50.0
Slotervaart,Private room,37,6.65,5,55.0
Oud-Oost,Entire home/apt,0,0.0,1,90.0
Zuid,Private room,11,2.13,1,50.0
Oud-Noord,Entire home/apt,10,2.01,3,450.0
Westerpark,Private room,2,0.55,1,120.0
Westerpark,Entire home/apt,1,0.28,1,21.428571428571427
Oud-Oost,Private room,2,0.41,1,80.0
Centrum-Oost,Entire home/apt,4,0.79,1,75.0
Zuid,Private room,11,2.13,1,45.0
Bos en Lommer,Private room,6,1.07,1,55.0
Oud-Oost,Entire home/apt,2,0.36,2,247.0
Zuid,Entire home/apt,1,0.19,1,56.666666666666664
Centrum-Oost,Entire home/apt,3,0.62,1,10.285714285714286
Centrum-West,Entire home/apt,1,0.22,3,55.833333333333336
Westerpark,Private room,17,3.04,1,100.0
Bos en Lommer,Private room,20,3.9,2,37.5
Centrum-West,Private room,2,0.46,15,170.0
Slotervaart,Private room,2,0.55,1,33.333333333333336
Centrum-Oost,Entire home/apt,2,0.58,2,66.66666666666667
Centrum-West,Private room,0,0.0,15,150.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,12,2.31,15,160.0
Centrum-West,Private room,1,0.21,15,150.0
Centrum-West,Private room,1,0.26,15,223.0
Centrum-West,Private room,1,0.25,15,150.0
Centrum-West,Private room,0,0.0,15,130.0
Centrum-West,Entire home/apt,2,0.37,15,170.0
Oostelijk Havengebied - Indische Buurt,Private room,2,0.45,15,160.0
De Baarsjes - Oud-West,Private room,7,1.38,3,50.0
Westerpark,Entire home/apt,9,1.74,1,125.0
Watergraafsmeer,Entire home/apt,1,0.22,1,110.0
Zuid,Entire home/apt,3,0.57,1,36.5
Centrum-West,Entire home/apt,7,1.28,1,80.0
De Baarsjes - Oud-West,Entire home/apt,2,1.11,1,64.5
Westerpark,Entire home/apt,4,0.96,1,75.0
Centrum-West,Entire home/apt,15,2.85,1,350.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,9,1.86,1,49.5
De Pijp - Rivierenbuurt,Entire home/apt,4,0.79,1,100.0
Centrum-Oost,Private room,6,1.23,1,55.0
Zuid,Entire home/apt,0,0.0,1,150.0
Oud-Oost,Entire home/apt,2,0.45,1,150.0
Centrum-West,Private room,3,0.63,15,130.0
Centrum-West,Private room,1,0.21,15,150.0
Oud-Noord,Entire home/apt,1,0.49,1,112.0
Bos en Lommer,Entire home/apt,2,0.53,1,57.5
De Pijp - Rivierenbuurt,Entire home/apt,1,0.19,1,61.666666666666664
Centrum-Oost,Entire home/apt,1,0.38,1,97.5
Westerpark,Entire home/apt,2,0.41,1,43.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,26.8
Westerpark,Entire home/apt,0,0.0,1,17.5
De Baarsjes - Oud-West,Entire home/apt,5,0.93,1,75.0
Bos en Lommer,Entire home/apt,1,0.34,1,7.5
Centrum-Oost,Entire home/apt,1,0.19,1,62.5
Slotervaart,Entire home/apt,2,0.55,1,47.5
Zuid,Entire home/apt,0,0.0,1,47.5
De Pijp - Rivierenbuurt,Entire home/apt,3,0.83,1,200.0
De Baarsjes - Oud-West,Entire home/apt,1,0.21,1,180.0
De Pijp - Rivierenbuurt,Entire home/apt,13,2.5,1,73.0
Centrum-Oost,Entire home/apt,13,3.55,1,200.0
Zuid,Entire home/apt,0,0.0,1,133.33333333333334
Centrum-West,Entire home/apt,0,0.0,1,29.833333333333332
Westerpark,Entire home/apt,0,0.0,1,100.0
De Pijp - Rivierenbuurt,Entire home/apt,9,1.7,3,60.0
Watergraafsmeer,Private room,12,2.32,1,100.0
Buitenveldert - Zuidas,Entire home/apt,2,0.55,1,26.333333333333332
De Baarsjes - Oud-West,Entire home/apt,3,0.8,1,74.5
De Pijp - Rivierenbuurt,Entire home/apt,8,1.63,1,51.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,6,1.13,2,115.0
Centrum-West,Entire home/apt,2,0.44,1,116.66666666666667
Zuid,Entire home/apt,4,0.86,1,31.0
Zuid,Entire home/apt,1,0.49,6,21.285714285714285
Bos en Lommer,Entire home/apt,2,1.0,1,150.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,79.5
Noord-West,Entire home/apt,7,1.43,1,50.0
De Baarsjes - Oud-West,Private room,1,0.45,3,50.0
Westerpark,Entire home/apt,1,0.52,1,40.0
De Pijp - Rivierenbuurt,Private room,3,1.27,2,43.333333333333336
Westerpark,Entire home/apt,7,1.28,1,70.0
Westerpark,Entire home/apt,4,0.92,1,200.0
IJburg - Zeeburgereiland,Entire home/apt,2,0.4,1,150.0
Centrum-Oost,Entire home/apt,5,0.99,1,142.5
Oud-Oost,Entire home/apt,2,0.48,1,105.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.28,1,125.0
Zuid,Entire home/apt,5,1.22,1,100.0
Oud-Oost,Entire home/apt,2,0.55,1,38.333333333333336
Centrum-West,Entire home/apt,1,0.24,1,50.0
De Baarsjes - Oud-West,Entire home/apt,3,0.73,2,200.0
Centrum-West,Entire home/apt,6,1.15,1,90.0
De Pijp - Rivierenbuurt,Private room,10,2.04,1,79.0
Bos en Lommer,Entire home/apt,1,0.28,1,72.5
De Baarsjes - Oud-West,Entire home/apt,2,0.55,1,80.0
Oud-Oost,Entire home/apt,6,1.62,1,75.0
Centrum-West,Entire home/apt,0,0.0,1,66.66666666666667
De Baarsjes - Oud-West,Entire home/apt,0,0.0,38,65.0
Osdorp,Entire home/apt,9,2.06,1,200.0
Centrum-Oost,Entire home/apt,0,0.0,2,120.0
De Baarsjes - Oud-West,Entire home/apt,3,0.69,1,127.5
Oud-Oost,Entire home/apt,2,0.47,31,67.5
Westerpark,Entire home/apt,0,0.0,2,67.5
De Baarsjes - Oud-West,Entire home/apt,5,1.03,1,60.0
Centrum-Oost,Private room,0,0.0,1,40.0
Buitenveldert - Zuidas,Entire home/apt,1,0.28,1,62.5
Zuid,Entire home/apt,0,0.0,4,34.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.28,1,97.5
Westerpark,Entire home/apt,4,0.98,1,60.0
Slotervaart,Entire home/apt,6,1.23,1,170.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.87,1,90.0
De Baarsjes - Oud-West,Entire home/apt,7,1.65,1,160.0
De Baarsjes - Oud-West,Entire home/apt,4,0.78,1,41.666666666666664
Zuid,Private room,1,0.23,1,38.0
Centrum-Oost,Entire home/apt,3,0.76,1,58.333333333333336
Bos en Lommer,Entire home/apt,3,0.78,1,50.0
Oud-Oost,Entire home/apt,0,0.0,1,150.0
Centrum-West,Entire home/apt,4,0.83,3,123.0
De Baarsjes - Oud-West,Entire home/apt,2,0.48,2,70.0
Centrum-West,Entire home/apt,2,0.39,1,72.5
Bos en Lommer,Entire home/apt,2,0.66,1,100.0
De Baarsjes - Oud-West,Entire home/apt,16,3.31,1,159.0
Centrum-Oost,Private room,0,0.0,1,150.0
De Baarsjes - Oud-West,Entire home/apt,1,0.33,1,74.5
De Pijp - Rivierenbuurt,Entire home/apt,1,0.36,1,31.25
De Baarsjes - Oud-West,Entire home/apt,1,0.38,1,9.571428571428571
De Baarsjes - Oud-West,Entire home/apt,2,0.49,1,55.0
Geuzenveld - Slotermeer,Entire home/apt,3,0.85,1,39.0
Centrum-Oost,Entire home/apt,3,0.64,2,55.0
De Baarsjes - Oud-West,Private room,17,3.31,2,80.0
De Aker - Nieuw Sloten,Entire home/apt,1,0.91,1,57.5
De Baarsjes - Oud-West,Private room,23,4.45,2,75.0
Centrum-West,Entire home/apt,3,0.63,2,123.0
Centrum-West,Private room,14,2.86,1,100.0
Osdorp,Entire home/apt,2,0.48,11,35.0
Centrum-West,Entire home/apt,2,0.41,11,41.0
Bos en Lommer,Entire home/apt,1,0.22,1,43.333333333333336
Bos en Lommer,Entire home/apt,7,1.42,2,34.5
De Pijp - Rivierenbuurt,Entire home/apt,7,1.38,1,63.0
De Baarsjes - Oud-West,Entire home/apt,2,0.78,1,150.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,33.333333333333336
De Baarsjes - Oud-West,Entire home/apt,0,0.0,4,75.0
Buitenveldert - Zuidas,Private room,10,2.65,1,34.0
Westerpark,Entire home/apt,3,1.2,1,75.0
Centrum-West,Entire home/apt,11,2.82,1,175.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,70.0
Centrum-Oost,Entire home/apt,8,1.63,1,138.0
Oostelijk Havengebied - Indische Buurt,Private room,8,1.62,1,80.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,75.0
Centrum-West,Entire home/apt,1,0.22,1,56.666666666666664
Slotervaart,Entire home/apt,0,0.0,1,125.0
Zuid,Entire home/apt,3,0.81,1,165.0
Centrum-West,Entire home/apt,14,2.75,2,300.0
Centrum-Oost,Entire home/apt,25,5.36,1,150.0
Gaasperdam - Driemond,Entire home/apt,1,0.28,2,45.0
Oud-Oost,Entire home/apt,10,2.63,1,43.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,6,1.46,1,75.0
Westerpark,Entire home/apt,2,0.5,1,25.0
Centrum-West,Entire home/apt,1,0.28,1,75.0
Centrum-Oost,Private room,8,2.26,2,89.5
Centrum-West,Private room,17,3.45,1,55.0
Centrum-West,Entire home/apt,3,0.86,1,66.66666666666667
De Baarsjes - Oud-West,Entire home/apt,1,0.67,1,99.5
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,33.333333333333336
Centrum-West,Entire home/apt,13,2.77,1,87.5
Westerpark,Entire home/apt,2,0.55,2,179.0
De Baarsjes - Oud-West,Entire home/apt,2,0.55,1,100.0
De Baarsjes - Oud-West,Entire home/apt,3,0.6,1,125.0
Centrum-Oost,Entire home/apt,7,1.46,1,116.66666666666667
Geuzenveld - Slotermeer,Entire home/apt,3,0.75,1,85.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.73,1,55.0
Westerpark,Private room,1,0.26,1,13.75
Centrum-Oost,Entire home/apt,0,0.0,2,98.75
Westerpark,Entire home/apt,4,0.91,1,75.0
De Baarsjes - Oud-West,Entire home/apt,4,1.08,1,65.0
Centrum-West,Private room,3,0.61,1,30.5
Centrum-West,Private room,1,0.5,2,33.333333333333336
Centrum-Oost,Entire home/apt,1,0.39,1,99.5
Watergraafsmeer,Entire home/apt,6,1.34,1,55.0
Zuid,Entire home/apt,10,2.29,1,43.5
Watergraafsmeer,Entire home/apt,0,0.0,1,100.0
De Pijp - Rivierenbuurt,Entire home/apt,6,1.96,1,200.0
Zuid,Entire home/apt,3,0.84,1,125.0
Zuid,Entire home/apt,0,0.0,3,34.0
Westerpark,Entire home/apt,5,1.11,1,67.5
De Aker - Nieuw Sloten,Private room,3,0.64,1,40.0
Zuid,Entire home/apt,2,0.41,1,73.33333333333333
Osdorp,Entire home/apt,10,2.38,1,100.0
Oud-Oost,Entire home/apt,3,0.83,1,87.5
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,125.0
Westerpark,Entire home/apt,2,0.48,1,59.5
De Pijp - Rivierenbuurt,Entire home/apt,3,0.6,1,47.5
Centrum-Oost,Entire home/apt,1,0.36,1,130.0
Bos en Lommer,Entire home/apt,3,0.71,1,50.0
Westerpark,Entire home/apt,2,0.54,1,150.0
De Pijp - Rivierenbuurt,Private room,14,3.0,1,100.0
De Baarsjes - Oud-West,Entire home/apt,10,2.29,2,91.66666666666667
Centrum-Oost,Entire home/apt,0,0.0,1,166.0
Centrum-West,Private room,7,2.12,3,114.5
Centrum-Oost,Entire home/apt,1,0.36,1,280.0
Zuid,Entire home/apt,0,0.0,2,60.0
Oud-Oost,Entire home/apt,8,1.7,1,55.0
Westerpark,Entire home/apt,3,0.86,1,95.0
Westerpark,Entire home/apt,0,0.0,1,40.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,1,0.23,1,26.666666666666668
Centrum-West,Private room,13,2.98,1,123.0
De Pijp - Rivierenbuurt,Entire home/apt,9,2.03,1,55.0
De Baarsjes - Oud-West,Private room,7,1.89,1,54.333333333333336
De Baarsjes - Oud-West,Entire home/apt,3,1.06,1,95.0
Centrum-West,Private room,4,1.32,1,87.5
Slotervaart,Private room,2,0.41,2,80.0
Oud-Oost,Entire home/apt,1,0.29,2,125.0
Centrum-West,Entire home/apt,1,0.28,1,161.66666666666666
Oud-Noord,Entire home/apt,1,0.64,1,60.0
Westerpark,Entire home/apt,3,0.83,1,43.5
Bos en Lommer,Entire home/apt,2,0.57,1,41.666666666666664
Oostelijk Havengebied - Indische Buurt,Entire home/apt,6,1.28,1,94.5
Zuid,Entire home/apt,0,0.0,6,31.285714285714285
Bijlmer-Centrum,Entire home/apt,3,0.83,1,37.5
De Baarsjes - Oud-West,Entire home/apt,2,0.56,1,41.666666666666664
Zuid,Entire home/apt,2,1.07,6,39.857142857142854
Osdorp,Private room,0,0.0,2,1.72
Centrum-Oost,Private room,1,0.21,2,95.0
Centrum-Oost,Entire home/apt,1,0.24,38,125.0
Centrum-West,Entire home/apt,13,3.33,1,220.0
Centrum-Oost,Entire home/apt,2,0.54,3,70.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,27.5
De Baarsjes - Oud-West,Entire home/apt,1,0.28,1,50.0
Westerpark,Entire home/apt,0,0.0,1,50.0
Centrum-Oost,Private room,0,0.0,1,10.0
Westerpark,Entire home/apt,2,0.53,1,62.5
Centrum-Oost,Entire home/apt,4,1.13,8,500.0
Bos en Lommer,Entire home/apt,0,0.0,1,11.11111111111111
Buitenveldert - Zuidas,Entire home/apt,2,0.55,1,55.0
Bijlmer-Oost,Entire home/apt,7,1.69,3,43.0
Zuid,Entire home/apt,1,0.25,1,150.0
Westerpark,Entire home/apt,4,0.9,1,34.5
Centrum-West,Entire home/apt,3,1.48,1,75.0
Oud-Oost,Entire home/apt,1,0.45,1,67.5
Zuid,Private room,0,0.0,1,23.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,3,0.83,1,85.0
De Baarsjes - Oud-West,Entire home/apt,6,1.37,1,75.0
Zuid,Entire home/apt,1,0.21,1,75.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,1,0.28,2,50.0
Centrum-West,Private room,14,3.28,2,45.0
Oud-Oost,Entire home/apt,2,0.48,1,65.0
Bos en Lommer,Entire home/apt,0,0.0,1,14.142857142857142
Noord-West,Entire home/apt,0,0.0,2,41.666666666666664
Oud-Oost,Entire home/apt,5,1.33,1,100.0
Oud-Noord,Private room,4,1.32,2,87.5
Noord-West,Private room,1,0.28,2,62.5
IJburg - Zeeburgereiland,Private room,0,0.0,1,62.5
Oostelijk Havengebied - Indische Buurt,Private room,1,0.31,2,90.0
IJburg - Zeeburgereiland,Entire home/apt,0,0.0,1,50.0
Bos en Lommer,Entire home/apt,1,0.27,1,82.5
De Baarsjes - Oud-West,Entire home/apt,0,0.0,3,150.0
Zuid,Private room,17,4.55,1,66.0
Centrum-Oost,Private room,2,0.49,2,95.0
De Baarsjes - Oud-West,Entire home/apt,5,1.34,1,130.0
Centrum-Oost,Entire home/apt,3,0.8,1,77.5
De Pijp - Rivierenbuurt,Private room,4,1.29,1,125.0
Noord-Oost,Entire home/apt,0,0.0,1,60.0
Centrum-Oost,Private room,0,0.0,1,33.333333333333336
IJburg - Zeeburgereiland,Private room,1,0.28,1,28.333333333333332
Centrum-West,Entire home/apt,1,0.28,4,40.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.8,1,50.0
Centrum-West,Private room,7,2.31,1,70.0
Centrum-West,Entire home/apt,0,0.0,4,48.57142857142857
Centrum-West,Entire home/apt,0,0.0,4,67.14285714285714
De Baarsjes - Oud-West,Entire home/apt,1,0.29,1,16.666666666666668
De Pijp - Rivierenbuurt,Entire home/apt,1,0.48,1,90.0
Centrum-Oost,Entire home/apt,3,0.69,1,28.75
Centrum-West,Private room,1,0.26,1,65.0
Zuid,Entire home/apt,0,0.0,2,125.0
Westerpark,Entire home/apt,0,0.0,1,59.666666666666664
Centrum-Oost,Entire home/apt,8,2.16,1,58.5
Centrum-West,Entire home/apt,14,3.21,1,66.66666666666667
Centrum-West,Entire home/apt,6,1.86,1,32.5
Oud-Oost,Entire home/apt,3,0.69,1,31.666666666666668
Centrum-West,Private room,18,3.83,4,250.0
Centrum-West,Entire home/apt,0,0.0,1,5.8
Westerpark,Entire home/apt,4,1.06,1,55.0
Slotervaart,Entire home/apt,2,0.55,1,56.666666666666664
Oud-Oost,Entire home/apt,0,0.0,1,29.166666666666668
De Pijp - Rivierenbuurt,Entire home/apt,1,0.45,1,125.0
Zuid,Private room,36,7.77,2,50.0
IJburg - Zeeburgereiland,Private room,1,0.28,3,88.0
De Baarsjes - Oud-West,Entire home/apt,2,0.56,1,250.0
De Baarsjes - Oud-West,Entire home/apt,2,0.55,1,50.0
Centrum-West,Entire home/apt,19,4.49,2,170.0
Centrum-West,Entire home/apt,6,1.68,2,170.0
Centrum-West,Entire home/apt,0,0.0,1,433.3333333333333
De Pijp - Rivierenbuurt,Private room,0,0.0,2,180.0
Zuid,Entire home/apt,0,0.0,1,200.0
De Baarsjes - Oud-West,Private room,0,0.0,1,75.0
Centrum-Oost,Entire home/apt,6,1.59,1,74.5
Slotervaart,Entire home/apt,3,0.82,1,46.666666666666664
Centrum-West,Private room,0,0.0,3,900.0
Oud-Oost,Entire home/apt,4,1.11,1,110.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,35.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,1,0.28,1,75.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.23,1,70.0
Buitenveldert - Zuidas,Entire home/apt,1,0.29,1,100.0
Bos en Lommer,Entire home/apt,1,0.55,1,18.333333333333332
Oostelijk Havengebied - Indische Buurt,Entire home/apt,16,3.78,6,900.0
Oostelijk Havengebied - Indische Buurt,Private room,3,1.73,6,818.0
Oud-Noord,Entire home/apt,1,0.21,1,72.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,16,3.64,6,818.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,23,7.5,6,818.0
Oostelijk Havengebied - Indische Buurt,Private room,0,0.0,6,818.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,6,1.54,1,26.666666666666668
Oostelijk Havengebied - Indische Buurt,Entire home/apt,12,3.08,6,818.0
Zuid,Entire home/apt,0,0.0,2,41.666666666666664
Centrum-Oost,Entire home/apt,3,0.7,8,400.0
Centrum-West,Entire home/apt,1,0.47,1,745.0
De Baarsjes - Oud-West,Entire home/apt,4,0.97,1,60.0
Centrum-Oost,Entire home/apt,4,1.12,8,500.0
Watergraafsmeer,Entire home/apt,3,0.68,1,44.5
Zuid,Entire home/apt,0,0.0,1,155.0
Watergraafsmeer,Entire home/apt,0,0.0,1,100.0
Gaasperdam - Driemond,Entire home/apt,2,0.56,1,21.666666666666668
Centrum-West,Entire home/apt,0,0.0,1,30.0
