neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Centrum-Oost,Entire home/apt,107,1.21,2,150.0
Centrum-Oost,Entire home/apt,39,0.43,1,5.0
Centrum-Oost,Entire home/apt,23,0.27,9,37.142857142857146
Centrum-Oost,Entire home/apt,21,0.29,9,37.142857142857146
Centrum-Oost,Entire home/apt,17,0.23,9,37.142857142857146
Centrum-Oost,Hotel room,15,0.2,9,37.142857142857146
Oud-Oost,Private room,130,1.43,2,57.5
Centrum-West,Entire home/apt,79,0.91,2,30.0
De Pijp - Rivierenbuurt,Entire home/apt,22,0.25,1,32.5
De Baarsjes - Oud-West,Private room,40,0.52,3,30.0
Westerpark,Entire home/apt,9,0.11,1,50.0
De Baarsjes - Oud-West,Entire home/apt,30,0.34,1,120.0
De Pijp - Rivierenbuurt,Entire home/apt,68,0.76,1,7.3
De Baarsjes - Oud-West,Entire home/apt,26,0.29,1,32.25
Centrum-Oost,Entire home/apt,238,2.72,1,62.5
De Baarsjes - Oud-West,Entire home/apt,114,1.31,1,73.33333333333333
De Baarsjes - Oud-West,Private room,161,2.0,1,70.0
Centrum-West,Entire home/apt,18,0.23,1,29.666666666666668
De Baarsjes - Oud-West,Entire home/apt,38,0.43,1,22.5
De Baarsjes - Oud-West,Entire home/apt,99,1.22,1,117.5
Centrum-West,Entire home/apt,104,1.17,1,106.33333333333333
De Baarsjes - Oud-West,Entire home/apt,9,0.13,3,112.5
De Baarsjes - Oud-West,Entire home/apt,42,0.55,1,21.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,7,0.08,1,40.0
Centrum-Oost,Shared room,63,0.79,1,57.0
Noord-Oost,Private room,246,2.71,2,19.666666666666668
Centrum-West,Entire home/apt,60,0.74,1,75.0
Westerpark,Private room,259,3.08,3,54.5
Zuid,Entire home/apt,23,0.26,1,67.5
Zuid,Entire home/apt,10,0.19,1,83.33333333333333
Centrum-West,Private room,391,6.06,2,119.0
Slotervaart,Private room,188,2.21,2,20.0
Centrum-West,Entire home/apt,20,0.23,1,65.0
Centrum-West,Private room,12,0.15,1,30.0
Centrum-Oost,Private room,409,4.53,2,39.333333333333336
De Baarsjes - Oud-West,Entire home/apt,2,0.08,1,46.666666666666664
Westerpark,Private room,73,0.82,6,26.666666666666668
Oostelijk Havengebied - Indische Buurt,Entire home/apt,161,1.78,1,212.5
De Pijp - Rivierenbuurt,Entire home/apt,12,0.15,1,56.666666666666664
Centrum-Oost,Entire home/apt,28,0.36,1,50.0
Oud-Oost,Entire home/apt,30,0.44,1,82.5
Centrum-West,Entire home/apt,60,0.7,1,49.666666666666664
Centrum-West,Entire home/apt,48,0.54,1,399.0
De Baarsjes - Oud-West,Entire home/apt,1,0.02,1,179.0
De Baarsjes - Oud-West,Entire home/apt,68,0.81,1,37.0
Centrum-Oost,Entire home/apt,756,8.46,1,100.0
Centrum-West,Entire home/apt,121,1.36,1,28.428571428571427
Zuid,Entire home/apt,4,0.06,1,110.0
Bos en Lommer,Entire home/apt,68,0.8,1,41.666666666666664
De Baarsjes - Oud-West,Entire home/apt,174,1.94,3,37.142857142857146
Centrum-Oost,Entire home/apt,29,0.34,1,12.0
De Baarsjes - Oud-West,Entire home/apt,30,0.35,1,66.66666666666667
De Baarsjes - Oud-West,Entire home/apt,57,0.63,1,80.0
Centrum-Oost,Private room,311,3.57,1,75.0
Oostelijk Havengebied - Indische Buurt,Private room,317,3.55,1,18.75
Westerpark,Entire home/apt,22,0.25,1,33.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.01,1,110.0
De Baarsjes - Oud-West,Entire home/apt,23,0.26,1,31.0
De Pijp - Rivierenbuurt,Entire home/apt,82,0.97,1,75.0
Centrum-Oost,Private room,668,7.42,1,135.0
De Baarsjes - Oud-West,Entire home/apt,39,0.44,1,72.0
Centrum-Oost,Entire home/apt,42,0.47,1,174.5
De Pijp - Rivierenbuurt,Entire home/apt,33,0.39,1,62.5
Zuid,Entire home/apt,60,0.71,1,38.333333333333336
De Baarsjes - Oud-West,Entire home/apt,39,0.45,1,95.0
Westerpark,Entire home/apt,39,0.45,1,43.0
Oostelijk Havengebied - Indische Buurt,Private room,465,5.24,1,125.0
Centrum-West,Private room,230,3.13,2,62.5
Centrum-Oost,Entire home/apt,9,0.11,1,46.666666666666664
Centrum-West,Entire home/apt,30,0.58,1,42.5
De Baarsjes - Oud-West,Entire home/apt,5,0.06,1,79.66666666666667
De Baarsjes - Oud-West,Entire home/apt,24,0.33,1,47.5
De Baarsjes - Oud-West,Entire home/apt,50,0.56,2,24.0
De Pijp - Rivierenbuurt,Entire home/apt,40,0.45,1,29.666666666666668
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,75.0
Centrum-Oost,Private room,300,3.38,1,40.0
De Pijp - Rivierenbuurt,Entire home/apt,46,0.56,1,57.5
Centrum-Oost,Entire home/apt,14,0.16,1,45.0
Zuid,Private room,154,2.25,1,27.5
Noord-Oost,Entire home/apt,6,0.07,3,150.0
De Pijp - Rivierenbuurt,Entire home/apt,21,0.24,1,6.538461538461538
Centrum-West,Entire home/apt,59,0.66,1,66.66666666666667
